# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
3010 -0.428077 -0.0207878 -0.0510087 -0.499873
3015 -0.404794 0.00981623 -0.0596848 -0.454662
3020 -0.360491 0.0365056 -0.064789 -0.388774
3025 -0.296389 0.0585868 -0.0669483 -0.30475
3030 -0.214728 0.0763814 -0.067545 -0.205891
3035 -0.119131 0.0911346 -0.0679583 -0.0959545
3040 -0.014695 0.104526 -0.0689645 0.0208665
3045 0.0922291 0.117474 -0.0702287 0.139474
3050 0.194822 0.130522 -0.0701537 0.25519
3055 0.28671 0.144102 -0.066389 0.364423
3060 0.362553 0.158604 -0.0564414 0.464716
3065 0.418405 0.174156 -0.0383974 0.554164
3070 0.451997 0.190763 -0.011712 0.631048
3075 0.462621 0.208256 0.0227651 0.693642
3080 0.45098 0.225975 0.0632238 0.740179
3085 0.419391 0.242664 0.107629 0.769685
3090 0.371241 0.256375 0.153424 0.78104
3095 0.310523 0.264732 0.197422 0.772678
3100 0.241114 0.26511 0.236216 0.74244
3105 0.166798 0.255089 0.266842 0.68873
3110 0.0910304 0.232944 0.287073 0.611046
3115 0.017253 0.198197 0.295335 0.510785
3120 -0.0512071 0.151611 0.291346 0.39175
3125 -0.111169 0.0952552 0.276029 0.260115
3130 -0.160027 0.0327008 0.250566 0.12324
3135 -0.196355 -0.0314595 0.216033 -0.0117813
3140 -0.22014 -0.0923079 0.173465 -0.138983
3145 -0.232466 -0.145512 0.12389 -0.254088
3150 -0.234767 -0.188107 0.0683815 -0.354492
3155 -0.228264 -0.21899 0.00817804 -0.439075
3160 -0.213893 -0.239054 -0.0550623 -0.508009
3165 -0.191836 -0.250575 -0.118677 -0.561087
3170 -0.162463 -0.256009 -0.179165 -0.597637
3175 -0.127289 -0.256699 -0.232638 -0.616626
3180 -0.088998 -0.253268 -0.275699 -0.617966
3185 -0.0510147 -0.246262 -0.30606 -0.603337
3190 -0.017046 -0.236662 -0.322979 -0.576687
3195 0.009607 -0.225487 -0.326593 -0.542473
3200 0.0262106 -0.213638 -0.317002 -0.50443
3205 0.0310132 -0.201805 -0.294333 -0.465125
3210 0.0240338 -0.189602 -0.259659 -0.425227
3215 0.0073628 -0.175991 -0.214756 -0.383384
3220 -0.0158804 -0.160196 -0.161763 -0.337839
3225 -0.0424291 -0.142149 -0.103533 -0.28811
3230 -0.0691461 -0.122891 -0.0437985 -0.235835
3235 -0.0937059 -0.103946 0.0135747 -0.184077
3240 -0.114606 -0.0862419 0.0653185 -0.135529
3245 -0.131007 -0.0700663 0.10887 -0.0922039
3250 -0.142492 -0.055279 0.142698 -0.0550736
3255 -0.148687 -0.0414183 0.166027 -0.0240784
3260 -0.149621 -0.0276958 0.178265 0.000948224
3265 -0.145635 -0.012889 0.178937 0.0204124
3270 -0.136867 0.00401262 0.167647 0.0347934
3275 -0.122963 0.0231599 0.144763 0.0449603
3280 -0.102964 0.0446929 0.111741 0.0534696
3285 -0.0757989 0.0687991 0.0707132 0.0637134
3290 -0.040691 0.0958516 0.0240071 0.0791677
3295 0.00246862 0.126296 -0.0262954 0.102469
3300 0.052923 0.16001 -0.077981 0.134952
3305 0.108853 0.196196 -0.12851 0.176539
